Method,Feature Count,CV Accuracy,CV F1,Test Accuracy,Test F1-Score,Training Time (s)
All Features,58,0.6523726943086867,0.6818592736518218,0.6550636902509774,0.6839246504102623,1.1467211246490479
Filter,15,0.6425981396815387,0.6765007706750014,0.6429562365998235,0.6786970831914653,0.09762120246887207
Wrapper,15,0.6459404067475958,0.6764790681623823,0.6511539916761256,0.6805266805266805,0.29361796379089355
Embedded,15,0.6259498659940091,0.6657861137810306,0.6260562492117543,0.6671157516560009,0.31926512718200684
Wrapper (Optimum),40,0.6532870881286458,0.6828445037507112,0.6536763778534493,0.6825433526011561,0.6834533214569092
